N,Bubble_Sort_Avg_Time_s,Merge_Sort_Avg_Time_s
100,0.00021857500541955233,8.22418078314513e-05
500,0.004897016601171344,0.0006279497989453376
1000,0.019155849795788528,0.0007008753949776292
2000,0.0673196833988186,0.0015552166034467519
4000,0.2662476915982552,0.0031878831970971076
8000,1.131675866607111,0.0070739167858846486
