N,Naive_Time_s,Optimized_Time_s,Sieve_Time_s
10000,0.10762162497849204,0.001980999979423359,0.00034187501296401024
50000,2.1534524580056313,0.010710040980484337,0.0016000419855117798
100000,7.74730079199071,0.025781417003599927,0.0031999170023482293
500000,SKIPPED,0.24553833398385905,0.01741650002077222
1000000,SKIPPED,0.6684425410057884,0.03436254200641997
