N,Linear_Search_Avg_Time_s,Binary_Search_Avg_Time_s
1000,9.9108403082937e-06,4.908401751890778e-07
5000,5.644999968353659e-05,7.391598774120212e-07
10000,0.00010496665956452489,7.850001566112042e-07
50000,0.0009403991600265727,1.4841597294434904e-06
100000,0.0034562316595111043,1.133339828811586e-06
500000,0.005869507500319742,2.0924996351823212e-06
1000000,0.011202945000259206,2.054179785773158e-06
